sample_id,malignancy
CMT-002-tumor,tumor
CMT-003-tumor,tumor
CMT-008-normal,normal
CMT-008-tumor,tumor
CMT-009-tumor,tumor
CMT-013-normal,normal
CMT-013-tumor,tumor
CMT-017-normal,normal
CMT-017-tumor,tumor
CMT-021-tumor,tumor
CMT-031-tumor,tumor
CMT-051-normal,normal
CMT-051-tumor,tumor
CMT-053-normal,normal
CMT-053-tumor,tumor
CMT-057-tumor,tumor
CMT-060-tumor,tumor
CMT-063-tumor,tumor
CMT-070-tumor,tumor
CMT-072-normal,normal
CMT-072-tumor,tumor
CMT-074-normal,normal
CMT-074-tumor,tumor
CMT-077-tumor,tumor
CMT-091-normal,normal
CMT-091-tumor,tumor
CMT-092-tumor,tumor
CMT-096-tumor,tumor
CMT-097-tumor,tumor
CMT-099-tumor,tumor
CMT-100-tumor,tumor
CMT-102-tumor,tumor
CMT-103-normal,normal
CMT-103-tumor,tumor
CMT-105-normal,normal
CMT-105-tumor,tumor
CMT-106-tumor,tumor
CMT-107-normal,normal
CMT-107-tumor,tumor
CMT-109-tumor,tumor
CMT-111-tumor,tumor
CMT-112-tumor,tumor
CMT-118-tumor,tumor
CMT-121-normal,normal
CMT-121-tumor,tumor
CMT-124-tumor,tumor
CMT-128-tumor,tumor
CMT-129-tumor,tumor
CMT-136-tumor,tumor
CMT-142-tumor,tumor
CMT-147-tumor,tumor
CMT-148-tumor,tumor
CMT-149-normal,normal
CMT-149-tumor,tumor
CMT-153-tumor,tumor
CMT-156-tumor,tumor
CMT-157-tumor,tumor
CMT-158-tumor,tumor
CMT-159-tumor,tumor
CMT-162-normal,normal
CMT-162-tumor,tumor
CMT-169-normal,normal
CMT-169-tumor,tumor
CMT-173-tumor,tumor
CMT-183-tumor,tumor
CMT-184-normal,normal
CMT-184-tumor,tumor
CMT-187-tumor,tumor
CMT-188-normal,normal
CMT-188-tumor,tumor
CMT-190-tumor,tumor
CMT-193-normal,normal
CMT-193-tumor,tumor
CMT-197-normal,normal
CMT-197-tumor,tumor
CMT-201-normal,normal
CMT-201-tumor,tumor
CMT-203-tumor,tumor
CMT-206-normal,normal
CMT-206-tumor,tumor
CMT-207-tumor,tumor
CMT-210-normal,normal
CMT-210-tumor,tumor
CMT-215-tumor,tumor
CMT-217-normal,normal
