,dog_ensembl_id,dog_gene_symbol,human_ensembl_id,human_gene_symbol,orthology_type,pct_id_dog_to_human,pct_id_human_to_dog
47690,ENSCAFG00000032250,,ENSG00000176294,,ortholog_one2one,90.228,90.228
47834,ENSCAFG00000015460,,ENSG00000182652,,ortholog_one2many,77.3913,83.1776
47942,ENSCAFG00000023739,,ENSG00000182652,,ortholog_one2many,86.8339,86.2928
48018,ENSCAFG00000043265,,ENSG00000258453,,ortholog_one2many,79.2049,79.4479
48019,ENSCAFG00000043265,,ENSG00000130538,,ortholog_one2many,78.2875,81.2698
48020,ENSCAFG00000043265,,ENSG00000257115,,ortholog_one2many,79.8165,80.0613
48305,ENSCAFG00000044423,,ENSG00000196832,,ortholog_one2one,80.0643,72.1739
48576,ENSCAFG00000023370,,ENSG00000176219,,ortholog_one2one,86.9697,86.9697
48653,ENSCAFG00000046131,,ENSG00000258806,,ortholog_one2one,85.3503,85.3503
48795,ENSCAFG00000023312,,ENSG00000176198,,ortholog_one2one,85.8462,86.1111
48904,ENSCAFG00000005383,,ENSG00000136319,,ortholog_one2one,83.4467,83.6364
49103,ENSCAFG00000005384,,ENSG00000100814,,ortholog_one2one,78.869,95.6679
49300,ENSCAFG00000005387,,ENSG00000135597,,ortholog_one2many,92.4841,91.206
49552,ENSCAFG00000005389,,ENSG00000129484,,ortholog_one2one,79.0698,81.6467
49743,ENSCAFG00000005404,,ENSG00000129566,,ortholog_one2one,71.3906,71.5265
49858,ENSCAFG00000028477,,ENSG00000185271,,ortholog_one2one,55.3191,26.0979
50081,ENSCAFG00000032205,,ENSG00000092094,,ortholog_one2one,83.3333,88.0597
50304,ENSCAFG00000032033,,ENSG00000100823,,ortholog_one2one,65.8696,95.283
50539,ENSCAFG00000005419,,ENSG00000198805,,ortholog_one2one,83.737,83.737
51070,ENSCAFG00000005421,,ENSG00000182545,,ortholog_one2one,50.5051,61.4754
51229,ENSCAFG00000005422,,ENSG00000188655,,ortholog_one2one,44.4444,41.9048
51378,ENSCAFG00000024274,,ENSG00000258436,,ortholog_one2one,61.5385,70.7483
51537,ENSCAFG00000005424,,ENSG00000181803,,ortholog_one2one,86.7069,86.7069
51615,ENSCAFG00000005426,,ENSG00000258818,,ortholog_one2one,61.4213,82.3129
51900,ENSCAFG00000005427,,ENSG00000169413,,ortholog_one2many,44.8718,23.3333
52090,ENSCAFG00000005429,,ENSG00000181562,,ortholog_one2many,48.9655,48.2993
52091,ENSCAFG00000005429,,ENSG00000181552,,ortholog_one2many,51.0345,50.3401
52170,ENSCAFG00000005430,,ENSG00000169413,,ortholog_one2many,50.6024,28.0
52352,ENSCAFG00000005431,,ENSG00000129538,,ortholog_one2one,44.5946,63.4615
52576,ENSCAFG00000005435,,ENSG00000165792,,ortholog_one2one,32.5749,56.9038
52761,ENSCAFG00000005438,,ENSG00000165794,,ortholog_one2one,79.9353,79.9353
52887,ENSCAFG00000005461,,ENSG00000165795,,ortholog_one2one,77.13,92.7224
53086,ENSCAFG00000005474,,ENSG00000179636,,ortholog_one2one,63.6364,82.3529
53248,ENSCAFG00000024269,,ENSG00000206150,,ortholog_one2one,67.7419,67.3077
53394,ENSCAFG00000005483,,ENSG00000165801,,ortholog_one2one,82.2044,87.8868
53509,ENSCAFG00000024620,,ENSG00000232070,,ortholog_one2one,65.6,75.576
53617,ENSCAFG00000005511,,ENSG00000092200,,ortholog_one2one,70.885,66.6407
53792,ENSCAFG00000005576,,ENSG00000092201,,ortholog_one2one,99.809,99.809
54010,ENSCAFG00000005626,,ENSG00000100888,,ortholog_one2one,96.6857,98.334
54248,ENSCAFG00000005641,,ENSG00000129472,,ortholog_one2one,72.0136,97.6852
54392,ENSCAFG00000005647,,ENSG00000092203,,ortholog_one2many,96.1279,91.9485
54598,ENSCAFG00000005657,,ENSG00000165819,,ortholog_one2one,98.4483,98.4483
55061,ENSCAFG00000005676,,ENSG00000165821,,ortholog_one2one,73.5931,67.5273
55174,ENSCAFG00000005679,,ENSG00000221977,,ortholog_one2one,83.4416,82.1086
62394,ENSCAFG00000043870,,ENSG00000125835,,ortholog_one2many,68.8312,22.0833
105792,ENSCAFG00000049113,,ENSG00000131174,,ortholog_one2many,79.7468,78.75
107783,ENSCAFG00000030583,,ENSG00000180658,,ortholog_one2many,83.5484,83.5484
132245,ENSCAFG00000046117,,ENSG00000181915,,ortholog_one2many,92.963,92.963
140983,ENSCAFG00000004961,,ENSG00000198445,,ortholog_one2one,71.7117,71.4542
141527,ENSCAFG00000005001,,ENSG00000165672,,ortholog_one2many,87.7551,83.9844
154251,ENSCAFG00000005828,,ENSG00000146072,,ortholog_one2many,90.0307,89.6183
