dog_ensembl_id,dog_gene_symbol,human_ensembl_id,human_gene_symbol,orthology_type,pct_id_dog_to_human,pct_id_human_to_dog
ENSCAFG00000003631,,ENSG00000142534,RPS11,ortholog_one2one,100.0,100.0
ENSCAFG00000029738,,ENSG00000105605,CACNG7,ortholog_one2one,100.0,100.0
ENSCAFG00000002631,,ENSG00000119729,RHOQ,ortholog_one2one,100.0,61.4634
ENSCAFG00000006601,,ENSG00000105258,POLR2I,ortholog_one2one,100.0,100.0
ENSCAFG00000000939,,ENSG00000111875,ASF1A,ortholog_one2one,100.0,100.0
ENSCAFG00000001006,,ENSG00000146352,CLVS2,ortholog_one2one,100.0,100.0
ENSCAFG00000002349,,ENSG00000130725,UBE2M,ortholog_one2one,100.0,100.0
ENSCAFG00000006140,,ENSG00000101236,RNF24,ortholog_one2one,100.0,87.574
ENSCAFG00000007053,,ENSG00000171552,BCL2L1,ortholog_one2one,100.0,75.8958
ENSCAFG00000042866,,ENSG00000100387,RBX1,ortholog_one2one,100.0,100.0
ENSCAFG00000001090,,ENSG00000100410,PHF5A,ortholog_one2one,100.0,100.0
ENSCAFG00000008327,,ENSG00000131051,RBM39,ortholog_one2one,100.0,100.0
ENSCAFG00000048078,,ENSG00000125995,ROMO1,ortholog_one2one,100.0,100.0
ENSCAFG00000008832,,ENSG00000101413,RPRD1B,ortholog_one2one,100.0,100.0
ENSCAFG00000032145,,ENSG00000166619,BLCAP,ortholog_one2one,100.0,100.0
ENSCAFG00000032009,,ENSG00000119414,PPP6C,ortholog_one2one,100.0,89.1813
ENSCAFG00000019347,,ENSG00000213977,TAX1BP3,ortholog_one2one,100.0,100.0
ENSCAFG00000019221,,ENSG00000174231,PRPF8,ortholog_one2one,100.0,100.0
ENSCAFG00000002533,,ENSG00000106803,SEC61B,ortholog_one2one,100.0,100.0
ENSCAFG00000032495,,ENSG00000169976,SF3B5,ortholog_one2one,100.0,100.0
ENSCAFG00000004413,,ENSG00000165997,ARL5B,ortholog_one2one,100.0,100.0
ENSCAFG00000004186,,ENSG00000150867,PIP4K2A,ortholog_one2one,100.0,100.0
ENSCAFG00000032740,,ENSG00000272047,GTF2H5,ortholog_one2one,100.0,100.0
ENSCAFG00000018659,,ENSG00000109083,IFT20,ortholog_one2one,100.0,83.5443
ENSCAFG00000004690,,ENSG00000161960,EIF4A1,ortholog_one2one,100.0,100.0
ENSCAFG00000006261,,ENSG00000180660,MAB21L1,ortholog_one2one,100.0,100.0
ENSCAFG00000044256,,ENSG00000205659,LIN52,ortholog_one2one,100.0,100.0
ENSCAFG00000003570,,ENSG00000119402,FBXW2,ortholog_one2one,100.0,100.0
ENSCAFG00000032389,,ENSG00000100632,ERH,ortholog_one2one,100.0,100.0
ENSCAFG00000032601,,ENSG00000185721,DRG1,ortholog_one2one,100.0,100.0
ENSCAFG00000016212,,ENSG00000125952,MAX,ortholog_one2one,100.0,100.0
ENSCAFG00000003629,,ENSG00000119396,RAB14,ortholog_one2one,100.0,100.0
ENSCAFG00000015421,,ENSG00000100030,MAPK1,ortholog_one2one,100.0,100.0
ENSCAFG00000024150,,ENSG00000165527,ARF6,ortholog_one2one,100.0,84.5714
ENSCAFG00000013872,,ENSG00000182400,TRAPPC6B,ortholog_one2one,100.0,100.0
ENSCAFG00000000190,,ENSG00000112306,RPS12,ortholog_one2one,100.0,100.0
ENSCAFG00000012097,,ENSG00000129559,NEDD8,ortholog_one2one,100.0,100.0
ENSCAFG00000001414,,ENSG00000112081,SRSF3,ortholog_one2one,100.0,100.0
ENSCAFG00000001318,,ENSG00000198755,RPL10A,ortholog_one2one,100.0,100.0
ENSCAFG00000018830,,ENSG00000123728,RAP2C,ortholog_one2one,100.0,100.0
ENSCAFG00000018755,,ENSG00000134594,RAB33A,ortholog_one2one,100.0,100.0
ENSCAFG00000001580,,ENSG00000001167,NFYA,ortholog_one2one,100.0,99.7118
ENSCAFG00000018634,,ENSG00000104833,TUBB4A,ortholog_one2one,100.0,100.0
ENSCAFG00000012171,,ENSG00000151923,TIAL1,ortholog_one2one,100.0,100.0
ENSCAFG00000018545,,ENSG00000232119,MCTS1,ortholog_one2one,100.0,100.0
ENSCAFG00000018390,,ENSG00000018610,STEEP1,ortholog_one2one,100.0,100.0
ENSCAFG00000032060,,ENSG00000185236,RAB11B,ortholog_one2one,100.0,100.0
ENSCAFG00000045671,,ENSG00000233927,RPS28,ortholog_one2one,100.0,100.0
ENSCAFG00000045750,,ENSG00000275379,H3C11,ortholog_one2one,100.0,100.0
ENSCAFG00000043815,,ENSG00000277775,H3C7,ortholog_one2one,100.0,100.0
ENSCAFG00000031860,,ENSG00000180573,H2AC6,ortholog_one2one,100.0,100.0
ENSCAFG00000042995,,ENSG00000278828,H3C10,ortholog_one2one,100.0,100.0
ENSCAFG00000043731,,ENSG00000277224,H2BC7,ortholog_one2one,100.0,100.0
ENSCAFG00000045512,,ENSG00000275714,H3C1,ortholog_one2one,100.0,100.0
ENSCAFG00000032630,,ENSG00000198258,UBL5,ortholog_one2one,100.0,100.0
ENSCAFG00000042780,,ENSG00000197903,H2BC12,ortholog_one2one,100.0,100.0
ENSCAFG00000032353,,ENSG00000072401,UBE2D1,ortholog_one2one,100.0,100.0
ENSCAFG00000015961,,ENSG00000078140,UBE2K,ortholog_one2one,100.0,100.0
ENSCAFG00000015782,,ENSG00000167461,RAB8A,ortholog_one2one,100.0,100.0
ENSCAFG00000029078,,ENSG00000274997,H2AC12,ortholog_one2one,100.0,100.0
ENSCAFG00000048378,,ENSG00000197409,H3C4,ortholog_one2one,100.0,100.0
ENSCAFG00000029759,,ENSG00000278677,H2AC17,ortholog_one2one,100.0,100.0
ENSCAFG00000013807,,ENSG00000147027,TMEM47,ortholog_one2one,100.0,100.0
ENSCAFG00000002153,,ENSG00000008197,TFAP2D,ortholog_one2one,100.0,100.0
ENSCAFG00000002490,,ENSG00000112245,PTP4A1,ortholog_one2one,100.0,100.0
ENSCAFG00000013183,,ENSG00000217236,SP9,ortholog_one2one,100.0,63.843
ENSCAFG00000018247,,ENSG00000167088,SNRPD1,ortholog_one2one,100.0,100.0
ENSCAFG00000028908,,ENSG00000105583,WDR83OS,ortholog_one2one,100.0,100.0
ENSCAFG00000017208,,ENSG00000198356,GET3,ortholog_one2one,100.0,100.0
ENSCAFG00000013619,,ENSG00000096746,HNRNPH3,ortholog_one2one,100.0,100.0
ENSCAFG00000010899,,ENSG00000115540,MOB4,ortholog_one2one,100.0,100.0
ENSCAFG00000017862,,ENSG00000141425,RPRD1A,ortholog_one2one,100.0,100.0
ENSCAFG00000017567,,ENSG00000175387,SMAD2,ortholog_one2one,100.0,100.0
ENSCAFG00000013510,,ENSG00000118260,CREB1,ortholog_one2one,100.0,100.0
ENSCAFG00000014618,,ENSG00000163466,ARPC2,ortholog_one2one,100.0,91.6667
ENSCAFG00000043173,,ENSG00000197756,RPL37A,ortholog_one2one,100.0,100.0
ENSCAFG00000003123,,ENSG00000135341,MAP3K7,ortholog_one2one,100.0,100.0
ENSCAFG00000014420,,ENSG00000166295,ANAPC16,ortholog_one2one,100.0,100.0
ENSCAFG00000003197,,ENSG00000138071,ACTR2,ortholog_one2one,100.0,100.0
ENSCAFG00000003187,,ENSG00000138069,RAB1A,ortholog_one2one,100.0,100.0
ENSCAFG00000001688,,ENSG00000107105,ELAVL2,ortholog_one2one,100.0,100.0
ENSCAFG00000005398,,ENSG00000013275,PSMC4,ortholog_one2one,100.0,100.0
ENSCAFG00000002366,,ENSG00000083845,RPS5,ortholog_one2one,100.0,90.6667
ENSCAFG00000004403,,ENSG00000125743,SNRPD2,ortholog_one2one,100.0,100.0
ENSCAFG00000029151,,ENSG00000160014,CALM3,ortholog_one2one,100.0,100.0
ENSCAFG00000002551,,ENSG00000063244,U2AF2,ortholog_one2one,100.0,100.0
ENSCAFG00000017226,,ENSG00000105576,TNPO2,ortholog_one2one,99.8885,99.8885
ENSCAFG00000001976,,ENSG00000165280,VCP,ortholog_one2one,99.8759,99.8759
ENSCAFG00000016809,,ENSG00000119707,RBM25,ortholog_one2one,99.8745,94.4247
ENSCAFG00000041148,,ENSG00000096384,HSP90AB1,ortholog_one2one,99.8619,99.8619
